Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers
Advanced Certification in UI UX Design,https://www.simplilearn.com/ui-ux-certification-training-course?tag=,"Become a Certified UI UX Expert in 5 months & attend masterclasses from top faculty of IIIT Bangalore. This UI UX Certification program offers live online classes, portfolio creation on Dribbble via Capstone Projects, and Designer Tool coaching followed by Simplilearn's Job Assistance",Simplilearn,,"Ranked India's #1 Technical University (Private) -  India Today, 2021","Ranked India's #1 Technical University (Private) -  India Today, 2021",University Program,8583,Business and Leadership,,
Caltech Coding Bootcamp,https://www.simplilearn.com/coding-bootcamp?tag=,Learn to code and become a full stack developer within 6 months with our state-of-the-art Caltech Coding Bootcamp. Get fully immersed in this accelerated coding bootcamp and become a valued software engineer ready to take on any challenges on the job.,Simplilearn,,Ranked No.1 Best Coding Bootcamp by Career Karma, Career Karma,University Program,8583,Software Development,,
HR Analytics: Unlocking Human Capital,https://www.simplilearn.com/hr-analytics-certification-online-course?tag=,Lead digital transformation in the world of HR by leveraging business analytics concepts learned through this IIT Roorkee HR Analytics certification course. This program helps you to understand the core topics related to analytics and their applications in the HR domain.,Simplilearn,,,,University Program,8583,Data Science & Business Analytics,,
Executive Certificate Program in General Management,https://www.simplilearn.com/general-management-certification-training-course?tag=,"With IIM Indore's General Management program, you will gain an understanding of domains including Operations, HR, Business Strategy, and digital disruption. Understand the fundamentals of how business works and leverage them to support your organizationâ€™s strategy.",Simplilearn,,,,University Program,8583,Business and Leadership,,
UI UX Bootcamp,https://www.simplilearn.com/ui-ux-bootcamp?tag=,"Become a Certified UI UX Expert in 5 months from UMass Amherst & become a part of the prestigious UMass Amherst Alumni Association. Bootcamp offers 100% Live Online Classes, Portfolio creation via Capstone Projects; Designer Tools coaching followed by Simplilearn's Job Assistance",Simplilearn,,,,University Program,8583,Business and Leadership,,
MS in Artificial Intelligence,https://www.simplilearn.com/ms-in-artificial-intelligence?tag=,"Kick start your career in AI with the MS in Artificial Intelligence with IU, Germany. This MS in AI Online program provides you with key technical knowledge, tools, and training to bring about innovation and disruption with AI.",Simplilearn,,,,University Program,,AI & Machine Learning,,
Professional Certificate Course in Data Analytics,https://www.simplilearn.com/iitk-professional-certificate-course-data-analytics?tag=,"Gain the skills to demystify data and strengthen your data analytics skills through this program, delivered through live sessions by industry experts, hands-on labs, and live masterclasses from distinguished IIT Kanpur faculty. Learn key concepts and hone your ability to apply analytics.",Simplilearn,,,,University Program,8583,Data Science & Business Analytics,,
Professional Certificate in Brand Strategy,https://www.simplilearn.com/professional-brand-strategy-certification?tag=,"Kickstart your brand management and strategy journey by creating a strong foundation in branding practices with this Professional Certificate in Brand Strategy program. Learn to build and manage customer-focused brands to drive profits and organic growth._x000D_
",Simplilearn,,,,University Program,8583,Digital Marketing,,
Caltech - UI UX Bootcamp,https://www.simplilearn.com/caltech-ui-ux-bootcamp?tag=,"Become a Certified UI UX Expert in 5 months from Caltech & earn a Caltech CTME Circle Membership. Bootcamp offers 100% Live Online Classes, Portfolio creation via Capstone Projects; Designer Tools coaching, Networking Sessions from top Design experts followed by Simplilearn's Job Assistance",Simplilearn,,Caltech Ranked #2 in World University Ranking by Times Higher Education, Times Higher Education,University Program,8583,Business and Leadership,,
Executive Leadership Principles Program,https://www.simplilearn.com/leadership-principles-training-course?tag=,"Empower yourself with the leadership acumen needed to solve problems, innovate, and drive change with this Executive Leadership Principles Certification. Designed by MIT xPRO, specifically for working professionals, it helps you innovate in your field and drive change collaboratively. ",Simplilearn,,,,University Program,8583,Business and Leadership,,
Best Data Science Course in India,https://www.simplilearn.com/iitk-professional-certificate-course-data-science?tag=,"Stay ahead of the Data Science curve with this Best Data Science course in India. Master essential Data Science skills through applied learning with live classes by industry experts, asynchronous videos, hands-on labs, and masterclasses from distinguished IIT Kanpur faculty.",Simplilearn,,,,University Program,8583,Data Science & Business Analytics,,
Caltech Cybersecurity Bootcamp,https://www.simplilearn.com/cybersecurity-bootcamp?tag=,"Kickstart your career as a cybersecurity professional through this Caltech Cybersecurity Bootcamp, and gain the skills and experience required by organizations to protect their critical systems and sensitive data from cyberattacks through real-world projects in just 26 weeks.",Simplilearn,,,,University Program,8583,Cyber Security,,
